,G_level_n_h
27905,1.0
13290,1.0
54009,0.0
74513,1.0
59564,1.0
11336,0.0
66046,0.0
80224,1.0
67813,0.0
80042,1.0
78784,1.0
26888,1.0
76337,0.0
83212,0.0
4726,1.0
40000,1.0
56952,1.0
66130,0.0
47966,0.0
84425,0.0
4689,0.0
4977,0.0
28176,1.0
2897,0.0
105215,0.0
4858,1.0
26051,0.0
80348,0.0
4818,1.0
4071,1.0
13671,1.0
39666,1.0
64777,1.0
55681,1.0
62982,1.0
78687,1.0
19859,1.0
56040,1.0
47520,0.0
31485,1.0
69833,0.0
62384,1.0
24772,0.0
51077,0.0
30101,1.0
48079,0.0
823,1.0
10248,1.0
13715,1.0
8613,1.0
24007,0.0
68173,1.0
41670,1.0
5763,1.0
87659,0.0
4960,0.0
82132,0.0
68039,1.0
68233,1.0
76852,0.0
36357,0.0
14442,0.0
12001,0.0
30042,1.0
61860,1.0
106018,0.0
2457,0.0
16699,1.0
19412,1.0
1221,0.0
48970,0.0
14280,0.0
19767,1.0
20964,0.0
31114,0.0
68107,1.0
82465,0.0
104400,0.0
60630,1.0
82632,0.0
12349,1.0
82390,0.0
29869,1.0
7242,0.0
97417,0.0
72830,0.0
2794,1.0
18997,1.0
21329,1.0
17372,1.0
26757,1.0
49158,0.0
1935,0.0
11581,1.0
1781,1.0
43290,0.0
63067,1.0
59102,0.0
48641,0.0
32099,0.0
46164,0.0
10172,0.0
8205,1.0
99158,0.0
57791,1.0
41545,1.0
8741,0.0
27925,1.0
436,1.0
44022,0.0
3171,0.0
25026,0.0
83856,0.0
22858,1.0
6006,0.0
8580,1.0
27172,1.0
66313,0.0
17139,1.0
79774,1.0
8658,0.0
51034,0.0
51202,0.0
2542,0.0
61282,0.0
15523,1.0
38424,0.0
38256,1.0
2988,0.0
8016,0.0
82514,0.0
15089,1.0
104167,0.0
39073,1.0
48769,0.0
32087,0.0
65207,0.0
75512,1.0
21937,1.0
57927,0.0
76219,0.0
12611,1.0
23431,0.0
44390,0.0
37014,1.0
79699,0.0
19229,0.0
100564,0.0
22537,1.0
68360,1.0
14119,1.0
39432,1.0
48938,0.0
30836,1.0
66760,1.0
79724,0.0
5167,1.0
42027,0.0
58950,0.0
50785,1.0
45268,0.0
74907,1.0
84353,0.0
80423,0.0
62772,0.0
20803,1.0
10637,1.0
73914,1.0
106272,0.0
40329,1.0
22103,1.0
37254,0.0
7801,0.0
57598,0.0
29512,1.0
23826,1.0
79787,1.0
2127,0.0
44562,1.0
21099,1.0
50068,0.0
55901,1.0
9017,1.0
52514,1.0
75555,0.0
58689,1.0
2057,1.0
50549,0.0
14770,1.0
69220,0.0
22979,1.0
42186,0.0
81339,1.0
8160,1.0
4520,0.0
29613,1.0
106115,0.0
96420,0.0
43877,1.0
2806,1.0
34831,1.0
60029,1.0
86540,0.0
50987,0.0
8990,1.0
90040,0.0
18284,0.0
61114,1.0
73599,1.0
8535,1.0
24733,0.0
68018,1.0
66271,1.0
29718,0.0
3286,0.0
6218,0.0
5893,0.0
3879,1.0
36014,1.0
37292,0.0
89719,0.0
36473,0.0
5044,1.0
66436,0.0
103566,0.0
1423,1.0
12263,1.0
60754,0.0
3120,0.0
4151,1.0
37446,1.0
66390,1.0
75989,0.0
68153,1.0
27097,1.0
66909,1.0
20382,1.0
7157,0.0
76690,1.0
26315,1.0
3392,1.0
59345,0.0
49098,1.0
19728,0.0
10150,0.0
8471,1.0
12136,1.0
89432,0.0
4056,1.0
62574,0.0
103288,0.0
38970,1.0
15287,0.0
64558,0.0
8083,0.0
99380,0.0
11061,0.0
77503,0.0
32397,1.0
36191,0.0
58639,1.0
35379,0.0
73559,0.0
16097,1.0
12782,1.0
6202,0.0
63559,0.0
65010,1.0
19800,1.0
71206,1.0
76317,1.0
67507,1.0
11854,1.0
52866,0.0
15626,1.0
2900,0.0
50894,0.0
80696,0.0
36080,1.0
46020,0.0
20934,0.0
89714,0.0
30550,0.0
61118,1.0
59580,1.0
9397,0.0
25303,0.0
13571,1.0
29272,0.0
16628,1.0
69564,1.0
27099,1.0
36986,0.0
48900,0.0
73495,0.0
2901,0.0
9423,0.0
50774,1.0
37270,0.0
39161,1.0
79440,1.0
103712,0.0
61932,1.0
38003,0.0
47134,1.0
7672,0.0
81427,0.0
35665,0.0
10124,1.0
35102,1.0
35419,0.0
38009,0.0
35722,0.0
6638,1.0
29719,0.0
65971,1.0
61277,0.0
45674,0.0
18844,1.0
40281,0.0
79845,1.0
55780,0.0
46813,0.0
37135,0.0
70978,1.0
64248,0.0
98626,0.0
75964,0.0
67787,1.0
46475,1.0
64080,0.0
47342,1.0
7898,0.0
22327,0.0
78352,1.0
67500,1.0
36884,1.0
61030,1.0
5954,0.0
55809,0.0
1594,0.0
76588,1.0
77034,0.0
48197,1.0
49352,1.0
41323,1.0
43613,0.0
79074,0.0
40974,1.0
35283,0.0
49878,0.0
64129,0.0
68481,0.0
78030,0.0
30783,0.0
43617,0.0
17695,0.0
47925,0.0
75881,0.0
90087,0.0
60683,0.0
8381,0.0
40901,1.0
42388,0.0
61435,1.0
43886,1.0
6221,0.0
5109,1.0
39667,1.0
11082,0.0
34391,1.0
72516,0.0
71197,1.0
54180,0.0
17947,0.0
18596,1.0
33215,1.0
7992,0.0
106035,0.0
27256,1.0
28619,0.0
14898,1.0
80907,1.0
39418,1.0
62044,0.0
100790,0.0
60341,1.0
55870,1.0
42285,0.0
84351,0.0
10319,1.0
65871,1.0
3026,0.0
50364,1.0
22946,1.0
79406,1.0
22518,1.0
32126,0.0
272,0.0
56793,0.0
62012,0.0
12710,1.0
61294,0.0
42955,1.0
96604,0.0
51806,1.0
54691,1.0
16440,0.0
60329,1.0
75668,0.0
52252,0.0
28902,1.0
77960,0.0
88819,0.0
40915,0.0
81803,1.0
8592,1.0
35059,1.0
105268,0.0
23750,0.0
79859,1.0
22176,1.0
27200,1.0
100708,0.0
56652,1.0
70689,1.0
33767,0.0
18589,1.0
31226,1.0
68451,1.0
73411,0.0
60391,1.0
61892,1.0
8067,0.0
27942,1.0
29380,0.0
29783,1.0
13945,0.0
28760,1.0
1628,1.0
21616,0.0
82798,0.0
93641,0.0
38227,1.0
40923,0.0
87017,0.0
76705,1.0
82445,0.0
33241,1.0
16616,1.0
58349,1.0
74800,1.0
74672,1.0
569,1.0
51876,0.0
29119,0.0
9300,1.0
9271,1.0
68626,0.0
80196,1.0
103746,0.0
62548,1.0
24964,0.0
74285,0.0
65731,1.0
26022,1.0
40310,0.0
81568,1.0
81662,0.0
2243,0.0
44751,1.0
64957,1.0
105312,0.0
50225,1.0
24666,0.0
65948,1.0
646,1.0
52264,0.0
76679,1.0
39839,0.0
58017,0.0
61530,1.0
19254,0.0
81582,1.0
33685,1.0
10373,1.0
26503,1.0
5153,1.0
40417,1.0
100704,0.0
5656,1.0
32354,0.0
21434,1.0
24824,0.0
47202,1.0
39117,1.0
47495,0.0
